Transform,id,OTDD,Error Drop
No Transform,none,1292.873779296875,65.07593653509915
Crop: center,center_crop,945.7060546875,76.07844408856094
Crop: random,random_crop,975.38671875,83.4693879464248
Affine: random,random_aff,1258.923583984375,80.2040772322295
"Rot: random(-180°,180°)",random_rot,1316.717041015625,59.615398772373844
Rot: 30°,rot_30,1349.1357421875,40.50105091545525
Rot: 60°,rot_60,1476.275146484375,3.4483062072820574
Rot: 90°,rot_90,1574.9246826171875,4.856501396350627
Rot: 120°,rot_120,1583.62451171875,18.058711031243444
Rot: 150°,rot_150,1508.8896484375,3.9560327876245127
Rot: 180°,rot_180,1381.46875,8.56480037429819
